id,name,price,img,description
1,Rice 5kg,20,https://images.unsplash.com/photo-1605460375648-278bcbd579a6,Rice suitable for daily cooking
2,Sugar 1kg,5,https://images.unsplash.com/photo-1586201375761-83865001e17d,White granulated sugar
3,Milk 1L,3,https://images.unsplash.com/photo-1582719478141-84dcd4d0a3f3,Fresh cow milk
4,Butter 200g,4,https://images.unsplash.com/photo-1601050690597-0f1c6fba9b25,Unsalted butter
5,Cheese 250g,6,https://images.unsplash.com/photo-1606813903290-85a4b5cb364e,Processed cheese slices
6,Tea 250g,5,https://images.unsplash.com/photo-1605733160314-4e11d0a3e5a4,Black tea leaves
7,Coffee 200g,7,https://images.unsplash.com/photo-1582719478141-84dcd4d0a3f3,Ground coffee
8,Flour 1kg,4,https://images.unsplash.com/photo-1581579185169-9a36f5a2d3b0,All-purpose wheat flour
9,Oil 1L,8,https://images.unsplash.com/photo-1603898037225-79723ed889c6,Refined cooking oil
10,Salt 500g,2,https://images.unsplash.com/photo-1603791440384-56cd371ee9a7,Table salt
11,Lentils 1kg,6,https://images.unsplash.com/photo-1586201375761-5ec15a2f7b74,Split red lentils
12,Chili Powder 100g,3,https://images.unsplash.com/photo-1606813903350-99361a8157d6,Spicy red chili powder
13,Turmeric 100g,3,https://images.unsplash.com/photo-1605460375648-278bcbd579a6,Ground turmeric spice
14,Ghee 500g,10,https://images.unsplash.com/photo-1601050690597-0f1c6fba9b25,Clarified butter
15,Pasta 500g,4,https://images.unsplash.com/photo-1586201375761-83865001e17d,Durum wheat pasta
16,Tomato Ketchup 500g,5,https://images.unsplash.com/photo-1605733160314-4e11d0a3e5a4,Tomato ketchup bottle
17,Soy Sauce 200ml,4,https://images.unsplash.com/photo-1582719478141-84dcd4d0a3f3,Dark soy sauce
18,Peanut Butter 250g,6,https://images.unsplash.com/photo-1606813903290-85a4b5cb364e,Crunchy peanut butter
19,Honey 250g,7,https://images.unsplash.com/photo-1603898037225-79723ed889c6,Natural honey
20,Cornflakes 500g,5,https://images.unsplash.com/photo-1603791440384-56cd371ee9a7,Breakfast cornflakes
